step,ee_x,ee_y,ee_z,hand_x,hand_y,hand_z,hand_dist_surface,g1_body_dist,gate,gate_trigger,stage,parts_placed,replan_count,replan_strategy,replan_raise_m,replan_lateral_m,grasp_rewinds,carry_aborted,min_part_z,parts_below_table,deadlock_tier,vhand_retreated,vhand_block_active,sphere_x,sphere_y,sphere_z,protocol_phase,protocol_part,disturbance_source,disturbance_scenario,disturbance_attempt_id,gate_trigger_source,replan_trigger_source,replan_trigger_step,replan_event_id,replan_applied_step,closest_g1_body,dist_min_g1_body,dist_min_proxy,warn_threshold_active,dist_min_for_gating,dist_min_envelope,dist_min_held,safe_dist_hard_stop_active,safe_dist_warn_active,proxy_center_x,proxy_center_y,proxy_center_z,proxy_surface_x,proxy_surface_y,proxy_surface_z,attractor_x,attractor_y,attractor_z,g1_head_x,g1_head_y,g1_head_z,reach_clamped,slow_streak_length,reach_radius_active,proxy_radius_active,head_to_attractor_distance,reach_margin,g1_root_x,g1_root_y,g1_root_z,g1_tilt_rad,g1_spawn_requested_x,g1_spawn_requested_y,g1_spawn_requested_yaw,spawn_pose_error
4000,0.6432,-0.1458,0.4871,0.0000,0.0000,2.0000,999.0000,0.9366,ALLOW,allow,move_above_slot_A_8,7,4,auto,0.2500,0.1318,0,0,0.1484,0,0,0,1,-0.4303,-0.3552,0.4871,reset,8,scripted_virtual_hand,static_occupancy_proxy,8,,,,,,right_wrist_pitch_link,0.9366,999.0000,0.2500,1.4608,1.4608,,0.2500,0.2500,-0.4303,-0.3552,0.4871,0.0000,0.0000,2.0000,-0.4309,-0.4330,0.0000,-0.4309,-0.4330,0.1910,0,0,0.5500,0.3000,0.0000,0.5500,-0.3104,-0.4227,-0.2713,0.2899,-1.4500,0.0000,0.0000,0.0000
4200,0.6411,0.3584,0.5027,0.3079,0.1562,0.5027,0.3098,1.1467,ALLOW,allow,move_above_box_with_slot_B_8,7,4,auto,0.2500,0.1318,0,0,0.1484,0,0,0,1,-0.0340,-0.0514,0.5027,transit,8,scripted_virtual_hand,static_occupancy_proxy,9,,,,,,left_wrist_pitch_link,1.1467,0.3098,0.2500,0.2482,0.2482,0.3098,0.2500,0.2500,-0.0340,-0.0514,0.5027,0.3079,0.1562,0.5027,0.6500,0.0000,0.0000,-0.4392,-0.4233,0.1881,1,0,0.5500,0.4000,1.1686,-0.6186,-0.3059,-0.4293,-0.2706,0.2970,-1.4500,0.0000,0.0000,0.0000
4400,0.7477,-0.3679,0.5548,0.0000,0.0000,2.0000,999.0000,1.0119,ALLOW,allow,move_above_slot_A_9,8,4,auto,0.2500,0.1318,0,0,0.1484,0,0,0,1,-0.4298,-0.3463,0.5548,reset,9,scripted_virtual_hand,static_occupancy_proxy,9,,,,,,right_wrist_pitch_link,1.0119,999.0000,0.2500,1.4853,1.4853,,0.2500,0.2500,-0.4298,-0.3463,0.5548,0.0000,0.0000,2.0000,-0.4305,-0.4242,0.0000,-0.4305,-0.4242,0.1959,0,0,0.5500,0.3000,0.0000,0.5500,-0.3191,-0.4358,-0.2681,0.2818,-1.4500,0.0000,0.0000,0.0000
4600,0.7524,0.1256,0.5638,0.3611,0.0176,0.5638,0.3259,1.1779,ALLOW,allow,move_above_box_with_slot_B_9,8,4,auto,0.2500,0.1318,0,0,0.1484,0,0,0,1,-0.0245,-0.0889,0.5638,transit,9,scripted_virtual_hand,static_occupancy_proxy,10,,,,,,left_wrist_pitch_link,1.1779,0.3259,0.2500,0.2644,0.2644,0.3259,0.2500,0.2500,-0.0245,-0.0889,0.5638,0.3611,0.0176,0.5638,0.6500,0.0000,0.0000,-0.4203,-0.4708,0.1940,1,0,0.5500,0.4000,1.1693,-0.6193,-0.3129,-0.4361,-0.2701,0.3023,-1.4500,0.0000,0.0000,0.0000
4800,0.7449,-0.1762,0.5765,0.0000,0.0000,2.0000,999.0000,1.0601,ALLOW,allow,lift_after_releasing_slot_B_9,8,4,auto,0.2500,0.1318,0,0,0.1484,0,0,0,1,-0.3993,-0.4300,0.5765,reset,9,scripted_virtual_hand,static_occupancy_proxy,10,,,,,,right_wrist_pitch_link,1.0601,999.0000,0.2500,1.4325,1.4325,,0.2500,0.2500,-0.3993,-0.4300,0.5765,0.0000,0.0000,2.0000,-0.3999,-0.5078,0.0000,-0.3999,-0.5078,0.1934,0,0,0.5500,0.3000,0.0000,0.5500,-0.3023,-0.4363,-0.2688,0.3053,-1.4500,0.0000,0.0000,0.0000
5000,0.7521,0.0855,0.5653,0.3812,-0.0102,0.5653,0.3031,1.1500,ALLOW,allow,lift_slot_A_10,9,4,auto,0.2500,0.1318,0,0,0.1484,0,0,0,1,-0.0061,-0.1102,0.5653,transit,10,scripted_virtual_hand,static_occupancy_proxy,11,,,,,,right_wrist_pitch_link,1.1500,0.3031,0.2500,0.2416,0.2416,0.3031,0.2500,0.2500,-0.0061,-0.1102,0.5653,0.3812,-0.0102,0.5653,0.6500,0.0000,0.0000,-0.3951,-0.4991,0.1953,1,0,0.5500,0.4000,1.1581,-0.6081,-0.2999,-0.4349,-0.2686,0.2923,-1.4500,0.0000,0.0000,0.0000
5200,0.7549,-0.0163,0.5699,0.0000,0.0000,2.0000,999.0000,1.1089,ALLOW,allow,lift_after_releasing_slot_B_10,9,4,auto,0.2500,0.1318,0,0,0.1484,0,0,0,1,-0.4160,-0.3790,0.5699,reset,10,scripted_virtual_hand,static_occupancy_proxy,11,,,,,,right_wrist_pitch_link,1.1089,999.0000,0.3472,1.4325,1.4325,,0.2500,0.3472,-0.4160,-0.3790,0.5699,0.0000,0.0000,2.0000,-0.4166,-0.4568,0.0000,-0.4166,-0.4568,0.1927,0,0,0.5500,0.3000,0.0000,0.5500,-0.3032,-0.4281,-0.2706,0.2890,-1.4500,0.0000,0.0000,0.0000
5400,0.7539,0.0448,0.5622,0.3522,0.0043,0.5622,0.3237,1.1471,ALLOW,allow,lift_slot_A_11,10,4,auto,0.2500,0.1318,0,0,0.1484,0,0,0,1,-0.0458,-0.0359,0.5622,transit,11,scripted_virtual_hand,static_occupancy_proxy,14,,,,,,right_wrist_pitch_link,1.1471,0.3237,0.2500,0.2621,0.2621,0.3237,0.2500,0.2500,-0.0458,-0.0359,0.5622,0.3522,0.0043,0.5622,0.6500,0.0000,0.0000,-0.4567,-0.4015,0.1876,1,0,0.5500,0.4000,1.1772,-0.6272,-0.3256,-0.4135,-0.2717,0.3007,-1.4500,0.0000,0.0000,0.0000
5600,0.7573,0.1439,0.5428,0.0000,0.0000,2.0000,999.0000,1.1449,ALLOW,allow,lift_after_releasing_slot_B_11,10,4,auto,0.2500,0.1318,0,0,0.1484,0,0,0,1,-0.4319,-0.3152,0.5428,reset,11,scripted_virtual_hand,static_occupancy_proxy,14,,,,,,left_wrist_pitch_link,1.1449,999.0000,0.2500,1.4621,1.4621,,0.2500,0.2500,-0.4319,-0.3152,0.5428,0.0000,0.0000,2.0000,-0.4326,-0.3930,0.0000,-0.4326,-0.3930,0.1880,0,0,0.5500,0.3000,0.0000,0.5500,-0.3566,-0.3247,-0.2785,0.2968,-1.4500,0.0000,0.0000,0.0000
5800,0.7480,0.0091,0.5659,0.4074,-0.0249,0.5659,0.2623,1.1429,ALLOW,allow,lift_slot_A_12,11,4,auto,0.2500,0.1318,0,0,0.1484,0,0,0,1,0.0093,-0.0646,0.5659,transit,12,scripted_virtual_hand,static_occupancy_proxy,16,,,,,,left_wrist_pitch_link,1.1429,0.2623,0.2500,0.2009,0.2009,0.2623,0.2500,0.2500,0.0093,-0.0646,0.5659,0.4074,-0.0249,0.5659,0.6500,0.0000,0.0000,-0.3911,-0.4416,0.1926,1,0,0.5500,0.4000,1.1309,-0.5809,-0.3634,-0.3730,-0.2786,0.2691,-1.4500,0.0000,0.0000,0.0000
