step,ee_x,ee_y,ee_z,hand_x,hand_y,hand_z,hand_dist_surface,g1_body_dist,gate,gate_trigger,stage,parts_placed,replan_count,replan_strategy,replan_raise_m,replan_lateral_m,grasp_rewinds,carry_aborted,min_part_z,parts_below_table,deadlock_tier,vhand_retreated,vhand_block_active,sphere_x,sphere_y,sphere_z,protocol_phase,protocol_part,disturbance_source,disturbance_scenario,disturbance_attempt_id,gate_trigger_source,replan_trigger_source,replan_trigger_step,replan_event_id,replan_applied_step,closest_g1_body,dist_min_g1_body,dist_min_proxy,warn_threshold_active,dist_min_for_gating,dist_min_envelope,dist_min_held,safe_dist_hard_stop_active,safe_dist_warn_active,proxy_center_x,proxy_center_y,proxy_center_z,proxy_surface_x,proxy_surface_y,proxy_surface_z,attractor_x,attractor_y,attractor_z,g1_head_x,g1_head_y,g1_head_z,reach_clamped,slow_streak_length,reach_radius_active,proxy_radius_active,head_to_attractor_distance,reach_margin,g1_root_x,g1_root_y,g1_root_z,g1_tilt_rad,g1_spawn_requested_x,g1_spawn_requested_y,g1_spawn_requested_yaw,spawn_pose_error
4000,0.7499,0.2152,0.3000,-0.2842,0.2184,-0.1222,0.9870,0.9870,ALLOW,allow,open_gripper_to_release_slot_B_10,9,0,,0.0000,0.0000,0,0,0.1485,0,0,0,0,0.0000,0.0000,0.0000,none,0,g1_body,baseline_safe,0,,,,,,left_wrist_pitch_link,0.9870,inf,0.1000,0.9870,0.9870,,0.0650,0.1000,0.0000,0.0000,0.0000,-0.2842,0.2184,-0.1222,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,-0.3870,0.0773,-0.2639,0.3107,,,,
4200,0.7439,-0.2076,0.4307,-0.2845,-0.1191,-0.1099,1.0353,1.0353,ALLOW,allow,grasp_slot_A_11,10,0,,0.0000,0.0000,0,0,0.1485,0,0,0,0,0.0000,0.0000,0.0000,none,0,g1_body,baseline_safe,0,,,,,,right_wrist_pitch_link,1.0353,inf,0.1000,1.0141,1.0141,1.0353,0.0650,0.1000,0.0000,0.0000,0.0000,-0.2845,-0.1191,-0.1099,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,-0.3874,0.0233,-0.2601,0.3182,,,,
4400,0.7498,0.2853,0.3004,-0.2854,0.1278,-0.1240,0.9999,0.9999,ALLOW,allow,open_gripper_to_release_slot_B_11,10,0,,0.0000,0.0000,0,0,0.1485,0,0,0,0,0.0000,0.0000,0.0000,none,0,g1_body,baseline_safe,0,,,,,,left_wrist_pitch_link,0.9999,inf,0.3002,0.9999,0.9999,,0.0650,0.3002,0.0000,0.0000,0.0000,-0.2854,0.1278,-0.1240,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,-0.3901,-0.0231,-0.2600,0.3150,,,,
4600,0.7439,-0.1381,0.4205,-0.2846,-0.2432,-0.1308,1.0417,1.0417,ALLOW,allow,grasp_slot_A_12,11,0,,0.0000,0.0000,0,0,0.1485,0,0,0,0,0.0000,0.0000,0.0000,none,0,g1_body,baseline_safe,0,,,,,,right_wrist_pitch_link,1.0417,inf,0.1000,1.0203,1.0203,1.0417,0.0650,0.1000,0.0000,0.0000,0.0000,-0.2846,-0.2432,-0.1308,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,-0.3915,-0.0964,-0.2656,0.3124,,,,
4800,0.7497,0.3555,0.3014,-0.2851,-0.0143,-0.1035,1.0411,1.0411,ALLOW,allow,open_gripper_to_release_slot_B_12,11,0,,0.0000,0.0000,0,0,0.1485,0,0,0,0,0.0000,0.0000,0.0000,none,0,g1_body,baseline_safe,0,,,,,,left_wrist_pitch_link,1.0411,inf,0.3003,1.0411,1.0411,,0.0650,0.3003,0.0000,0.0000,0.0000,-0.2851,-0.0143,-0.1035,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,-0.3885,-0.1493,-0.2583,0.3002,,,,
5000,0.8580,-0.3495,0.4134,-0.2845,-0.3493,-0.1417,1.1402,1.1402,ALLOW,allow,grasp_slot_A_13,12,0,,0.0000,0.0000,0,0,0.1485,0,0,0,0,0.0000,0.0000,0.0000,none,0,g1_body,baseline_safe,0,,,,,,right_wrist_pitch_link,1.1402,inf,0.1000,1.1195,1.1195,1.1402,0.0650,0.1000,0.0000,0.0000,0.0000,-0.2845,-0.3493,-0.1417,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,-0.3894,-0.1810,-0.2607,0.3014,,,,
5200,0.8602,0.1454,0.3002,-0.2843,-0.0442,-0.1241,1.1053,1.1053,ALLOW,allow,open_gripper_to_release_slot_B_13,12,0,,0.0000,0.0000,0,0,0.1485,0,0,0,0,0.0000,0.0000,0.0000,none,0,g1_body,baseline_safe,0,,,,,,left_wrist_pitch_link,1.1053,inf,0.3010,1.1053,1.1053,,0.0650,0.3010,0.0000,0.0000,0.0000,-0.2843,-0.0442,-0.1241,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,-0.3876,-0.1817,-0.2688,0.3217,,,,
5400,0.8580,-0.2799,0.4075,-0.2841,-0.0288,-0.1462,1.1639,1.1639,ALLOW,allow,grasp_slot_A_14,13,0,,0.0000,0.0000,0,0,0.1485,0,0,0,0,0.0000,0.0000,0.0000,none,0,g1_body,baseline_safe,0,,,,,,right_wrist_pitch_link,1.1639,inf,0.1000,1.1434,1.1434,1.1639,0.0650,0.1000,0.0000,0.0000,0.0000,-0.2841,-0.0288,-0.1462,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,-0.3838,0.1479,-0.2703,0.3113,,,,
5600,0.8603,0.2154,0.3003,-0.2855,-0.0452,-0.1342,1.1228,1.1228,ALLOW,allow,open_gripper_to_release_slot_B_14,13,0,,0.0000,0.0000,0,0,0.1485,0,0,0,0,0.0000,0.0000,0.0000,none,0,g1_body,baseline_safe,0,,,,,,left_wrist_pitch_link,1.1228,inf,0.3021,1.1228,1.1228,,0.0650,0.3021,0.0000,0.0000,0.0000,-0.2855,-0.0452,-0.1342,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,-0.3917,-0.2113,-0.2540,0.2964,,,,
5800,0.8581,-0.2110,0.4015,-0.2839,-0.1499,-0.1257,1.1292,1.1292,ALLOW,allow,grasp_slot_A_15,14,0,,0.0000,0.0000,0,0,0.1485,0,0,0,0,0.0000,0.0000,0.0000,none,0,g1_body,baseline_safe,0,,,,,,right_wrist_pitch_link,1.1292,inf,0.1000,1.1089,1.1089,1.1292,0.0650,0.1000,0.0000,0.0000,0.0000,-0.2839,-0.1499,-0.1257,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,-0.3899,0.0129,-0.2595,0.3161,,,,
