step,ee_x,ee_y,ee_z,hand_x,hand_y,hand_z,hand_dist_surface,g1_body_dist,gate,gate_trigger,stage,parts_placed,replan_count,replan_strategy,replan_raise_m,replan_lateral_m,grasp_rewinds,carry_aborted,min_part_z,parts_below_table,deadlock_tier,vhand_retreated,vhand_block_active,sphere_x,sphere_y,sphere_z,protocol_phase,protocol_part,disturbance_source,disturbance_scenario,disturbance_attempt_id,gate_trigger_source,replan_trigger_source,replan_trigger_step,replan_event_id,replan_applied_step,closest_g1_body,dist_min_g1_body,dist_min_proxy,warn_threshold_active,dist_min_for_gating,dist_min_envelope,dist_min_held,safe_dist_hard_stop_active,safe_dist_warn_active,proxy_center_x,proxy_center_y,proxy_center_z,proxy_surface_x,proxy_surface_y,proxy_surface_z,attractor_x,attractor_y,attractor_z,g1_head_x,g1_head_y,g1_head_z,reach_clamped,slow_streak_length,reach_radius_active,proxy_radius_active,head_to_attractor_distance,reach_margin,g1_root_x,g1_root_y,g1_root_z,g1_tilt_rad,g1_spawn_requested_x,g1_spawn_requested_y,g1_spawn_requested_yaw,spawn_pose_error
4000,0.7500,0.2152,0.2999,-0.2845,0.3233,-0.1353,0.9975,0.9975,ALLOW,allow,open_gripper_to_release_slot_B_10,9,0,,0.0000,0.0000,0,0,0.1485,0,0,0,0,0.0000,0.0000,0.0000,none,0,g1_body,baseline_safe,0,,,,,,left_wrist_pitch_link,0.9975,inf,0.1000,0.9975,0.9975,,0.0650,0.1000,0.0000,0.0000,0.0000,-0.2845,0.3233,-0.1353,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,-0.3912,0.1727,-0.2658,0.3055,,,,
4200,0.7443,-0.2074,0.4257,-0.2883,-0.3562,-0.1029,1.0395,1.0395,ALLOW,allow,grasp_slot_A_11,10,0,,0.0000,0.0000,0,0,0.1485,0,0,0,0,0.0000,0.0000,0.0000,none,0,g1_body,baseline_safe,0,,,,,,right_wrist_pitch_link,1.0395,inf,0.1000,1.0185,1.0185,1.0395,0.0650,0.1000,0.0000,0.0000,0.0000,-0.2883,-0.3562,-0.1029,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,-0.3848,-0.2237,-0.2720,0.3369,,,,
4400,0.7499,0.2853,0.3002,-0.2853,0.1045,-0.1393,1.0090,1.0090,ALLOW,allow,open_gripper_to_release_slot_B_11,10,0,,0.0000,0.0000,0,0,0.1485,0,0,0,0,0.0000,0.0000,0.0000,none,0,g1_body,baseline_safe,0,,,,,,left_wrist_pitch_link,1.0090,inf,0.1000,1.0090,1.0090,,0.0650,0.1000,0.0000,0.0000,0.0000,-0.2853,0.1045,-0.1393,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,-0.3887,-0.0526,-0.2665,0.2941,,,,
4600,0.7444,-0.1384,0.4152,-0.2840,-0.1572,-0.1198,1.0294,1.0294,ALLOW,allow,grasp_slot_A_12,11,0,,0.0000,0.0000,0,0,0.1485,0,0,0,0,0.0000,0.0000,0.0000,none,0,g1_body,baseline_safe,0,,,,,,right_wrist_pitch_link,1.0294,inf,0.1000,1.0082,1.0082,1.0294,0.0650,0.1000,0.0000,0.0000,0.0000,-0.2840,-0.1572,-0.1198,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,-0.3880,-0.0209,-0.2664,0.3220,,,,
4800,0.7497,0.3556,0.3012,-0.2849,0.1792,-0.1040,0.9951,0.9951,ALLOW,allow,open_gripper_to_release_slot_B_12,11,0,,0.0000,0.0000,0,0,0.1485,0,0,0,0,0.0000,0.0000,0.0000,none,0,g1_body,baseline_safe,0,,,,,,left_wrist_pitch_link,0.9951,inf,0.1000,0.9951,0.9951,,0.0650,0.1000,0.0000,0.0000,0.0000,-0.2849,0.1792,-0.1040,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,-0.3900,0.0427,-0.2573,0.3142,,,,
5000,0.8585,-0.3501,0.4070,-0.2849,-0.0864,-0.1321,1.1613,1.1613,ALLOW,allow,grasp_slot_A_13,12,0,,0.0000,0.0000,0,0,0.1485,0,0,0,0,0.0000,0.0000,0.0000,none,0,g1_body,baseline_safe,0,,,,,,right_wrist_pitch_link,1.1613,inf,0.1000,1.1410,1.1410,1.1613,0.0650,0.1000,0.0000,0.0000,0.0000,-0.2849,-0.0864,-0.1321,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,-0.3913,0.0704,-0.2611,0.3094,,,,
5200,0.8602,0.1454,0.3004,-0.2871,0.0547,-0.1256,1.0972,1.0972,ALLOW,allow,open_gripper_to_release_slot_B_13,12,0,,0.0000,0.0000,0,0,0.1485,0,0,0,0,0.0000,0.0000,0.0000,none,0,g1_body,baseline_safe,0,,,,,,right_wrist_pitch_link,1.0972,inf,0.3024,1.0972,1.0972,,0.0650,0.3024,0.0000,0.0000,0.0000,-0.2871,0.0547,-0.1256,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,-0.3885,0.1996,-0.2706,0.3398,,,,
5400,0.8586,-0.2805,0.4010,-0.2882,-0.1957,-0.0875,1.1194,1.1194,ALLOW,allow,grasp_slot_A_14,13,0,,0.0000,0.0000,0,0,0.1485,0,0,0,0,0.0000,0.0000,0.0000,none,0,g1_body,baseline_safe,0,,,,,,right_wrist_pitch_link,1.1194,inf,0.1000,1.0996,1.0996,1.1194,0.0650,0.1000,0.0000,0.0000,0.0000,-0.2882,-0.1957,-0.0875,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,-0.3903,-0.0727,-0.2572,0.3255,,,,
5600,0.8602,0.2153,0.3002,-0.2848,0.0624,-0.1542,1.1114,1.1114,ALLOW,allow,open_gripper_to_release_slot_B_14,13,0,,0.0000,0.0000,0,0,0.1485,0,0,0,0,0.0000,0.0000,0.0000,none,0,g1_body,baseline_safe,0,,,,,,left_wrist_pitch_link,1.1114,inf,0.3017,1.1114,1.1114,,0.0650,0.3017,0.0000,0.0000,0.0000,-0.2848,0.0624,-0.1542,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,-0.3823,-0.1012,-0.2711,0.3327,,,,
5800,0.8595,-0.2116,0.3881,-0.2845,-0.2296,-0.1222,1.1228,1.1228,ALLOW,allow,grasp_slot_A_15,14,0,,0.0000,0.0000,0,0,0.1485,0,0,0,0,0.0000,0.0000,0.0000,none,0,g1_body,baseline_safe,0,,,,,,right_wrist_pitch_link,1.1228,inf,0.1000,1.1027,1.1027,1.1228,0.0650,0.1000,0.0000,0.0000,0.0000,-0.2845,-0.2296,-0.1222,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,-0.3897,-0.0910,-0.2672,0.3087,,,,
