step,ee_x,ee_y,ee_z,hand_x,hand_y,hand_z,hand_dist_surface,g1_body_dist,gate,gate_trigger,stage,parts_placed,replan_count,replan_strategy,replan_raise_m,replan_lateral_m,grasp_rewinds,carry_aborted,min_part_z,parts_below_table,deadlock_tier,vhand_retreated,vhand_block_active,sphere_x,sphere_y,sphere_z,protocol_phase,protocol_part,disturbance_source,disturbance_scenario,disturbance_attempt_id,gate_trigger_source,replan_trigger_source,replan_trigger_step,replan_event_id,replan_applied_step,closest_g1_body,dist_min_g1_body,dist_min_proxy,warn_threshold_active,dist_min_for_gating,dist_min_envelope,dist_min_held,safe_dist_hard_stop_active,safe_dist_warn_active,proxy_center_x,proxy_center_y,proxy_center_z,proxy_surface_x,proxy_surface_y,proxy_surface_z,attractor_x,attractor_y,attractor_z,g1_head_x,g1_head_y,g1_head_z,reach_clamped,slow_streak_length,reach_radius_active,proxy_radius_active,head_to_attractor_distance,reach_margin,g1_root_x,g1_root_y,g1_root_z,g1_tilt_rad,g1_spawn_requested_x,g1_spawn_requested_y,g1_spawn_requested_yaw,spawn_pose_error
4000,0.6416,-0.1446,0.4996,0.0000,0.0000,2.0000,999.0000,0.9850,ALLOW,allow,move_above_slot_A_8,7,4,auto,0.2500,0.1563,0,0,0.1485,0,0,0,1,-0.4364,-0.3088,0.4996,reset,8,scripted_virtual_hand,static_occupancy_proxy,8,,,,,,left_wrist_pitch_link,0.9850,999.0000,0.2500,1.4489,1.4489,,0.2500,0.2500,-0.4364,-0.3088,0.4996,0.0000,0.0000,2.0000,-0.4370,-0.3866,0.0000,-0.4370,-0.3866,0.1928,0,0,0.5500,0.3000,0.0000,0.5500,-0.3471,-0.3113,-0.2703,0.2974,-1.4500,0.0000,0.0000,0.0000
4200,0.6412,0.2362,0.5647,0.3516,0.1152,0.5647,0.2339,1.1175,ALLOW,allow,lift_slot_A_8,7,4,auto,0.2500,0.1563,0,0,0.1485,0,0,0,1,-0.0175,-0.0390,0.5647,transit,8,scripted_virtual_hand,static_occupancy_proxy,9,,,,,,left_wrist_pitch_link,1.1175,0.2339,0.2500,0.1724,0.1724,0.2339,0.2500,0.2500,-0.0175,-0.0390,0.5647,0.3516,0.1152,0.5647,0.6500,0.0000,0.0000,-0.4246,-0.4089,0.1894,1,0,0.5500,0.4000,1.1497,-0.5997,-0.3380,-0.3783,-0.2794,0.2529,-1.4500,0.0000,0.0000,0.0000
4400,0.7032,-0.0525,0.5752,0.0000,0.0000,2.0000,999.0000,1.1073,ALLOW,allow,lift_after_releasing_slot_B_8,7,4,auto,0.2500,0.1563,0,0,0.1485,0,0,0,1,-0.3339,-0.4391,0.5752,reset,8,scripted_virtual_hand,static_occupancy_proxy,9,,,,,,left_wrist_pitch_link,1.1073,999.0000,0.2500,1.4043,1.4043,,0.2500,0.2500,-0.3339,-0.4391,0.5752,0.0000,0.0000,2.0000,-0.3345,-0.5169,0.0000,-0.3345,-0.5169,0.1925,0,0,0.5500,0.3000,0.0000,0.5500,-0.3588,-0.4358,-0.2766,0.2383,-1.4500,0.0000,0.0000,0.0000
4600,0.7543,-0.0964,0.5627,0.3957,-0.0728,0.5627,0.2794,1.1200,ALLOW,allow,lift_slot_A_9,8,4,auto,0.2500,0.1563,0,0,0.1485,0,0,0,1,-0.0034,-0.0465,0.5627,transit,9,scripted_virtual_hand,static_occupancy_proxy,10,,,,,,left_wrist_pitch_link,1.1200,0.2794,0.2500,0.2179,0.2179,0.2794,0.2500,0.2500,-0.0034,-0.0465,0.5627,0.3957,-0.0728,0.5627,0.6500,0.0000,0.0000,-0.4147,-0.4117,0.1970,1,0,0.5500,0.4000,1.1415,-0.5915,-0.3429,-0.3436,-0.2703,0.2691,-1.4500,0.0000,0.0000,0.0000
4800,0.7572,0.0021,0.5427,0.0000,0.0000,2.0000,999.0000,1.1176,ALLOW,allow,lift_after_releasing_slot_B_9,8,4,auto,0.2500,0.1563,0,0,0.1485,0,0,0,1,-0.4440,-0.4382,0.5427,reset,9,scripted_virtual_hand,static_occupancy_proxy,10,,,,,,left_wrist_pitch_link,1.1176,999.0000,0.2500,1.4555,1.4555,,0.2500,0.2500,-0.4440,-0.4382,0.5427,0.0000,0.0000,2.0000,-0.4447,-0.5160,0.0000,-0.4447,-0.5160,0.1912,0,0,0.5500,0.3000,0.0000,0.5500,-0.3448,-0.4054,-0.2630,0.2894,-1.4500,0.0000,0.0000,0.0000
5000,0.7494,-0.1308,0.5660,0.3773,-0.1300,0.5660,0.2921,1.1062,ALLOW,allow,lift_slot_A_10,9,4,auto,0.2500,0.1563,0,0,0.1485,0,0,0,1,-0.0227,-0.1292,0.5660,transit,10,scripted_virtual_hand,static_occupancy_proxy,12,,,,,,right_wrist_pitch_link,1.1062,0.2921,0.2500,0.2306,0.2306,0.2921,0.2500,0.2500,-0.0227,-0.1292,0.5660,0.3773,-0.1300,0.5660,0.6500,0.0000,0.0000,-0.4116,-0.5180,0.2052,1,0,0.5500,0.4000,1.1813,-0.6313,-0.3377,-0.4304,-0.2588,0.2643,-1.4500,0.0000,0.0000,0.0000
5200,0.6665,0.1843,0.6402,0.0000,0.0000,2.0000,999.0000,1.1366,ALLOW,allow,lift_after_releasing_slot_B_10,9,4,auto,0.2500,0.1563,0,0,0.1485,0,0,0,1,-0.4212,-0.3269,0.6402,reset,10,scripted_virtual_hand,static_occupancy_proxy,12,,,,,,left_wrist_pitch_link,1.1366,999.0000,0.2500,1.3489,1.3489,,0.2500,0.2500,-0.4212,-0.3269,0.6402,0.0000,0.0000,2.0000,-0.4218,-0.4047,0.0000,-0.4218,-0.4047,0.1935,0,0,0.5500,0.3000,0.0000,0.5500,-0.3451,-0.3242,-0.2712,0.2817,-1.4500,0.0000,0.0000,0.0000
5400,0.7451,-0.1803,0.5760,0.3918,-0.1195,0.5760,0.2785,1.0955,ALLOW,allow,lift_slot_A_11,10,4,auto,0.2500,0.1563,0,0,0.1485,0,0,0,1,-0.0024,-0.0516,0.5760,transit,11,scripted_virtual_hand,static_occupancy_proxy,14,,,,,,right_wrist_pitch_link,1.0955,0.2785,0.2709,0.2170,0.2170,0.2785,0.2500,0.2709,-0.0024,-0.0516,0.5760,0.3918,-0.1195,0.5760,0.6500,0.0000,0.0000,-0.4164,-0.4137,0.1962,1,0,0.5500,0.4000,1.1439,-0.5939,-0.3477,-0.3628,-0.2737,0.2663,-1.4500,0.0000,0.0000,0.0000
5600,0.7544,0.2703,0.5432,0.0000,0.0000,2.0000,999.0000,1.1921,SLOW_DOWN,dynamic_ttc_warning: 0.780s,lift_after_releasing_slot_B_11,10,4,auto,0.2500,0.1563,0,0,0.1485,0,0,0,1,-0.3454,-0.3728,0.5432,reset,11,scripted_virtual_hand,static_occupancy_proxy,14,,,,,,left_wrist_pitch_link,1.1921,999.0000,0.5000,1.4844,1.4844,,0.2500,0.5000,-0.3454,-0.3728,0.5432,0.0000,0.0000,2.0000,-0.3774,-0.4758,0.0000,-0.3774,-0.4758,0.2046,0,0,0.5500,0.3000,0.0000,0.5500,-0.3387,-0.3864,-0.2629,0.2467,-1.4500,0.0000,0.0000,0.0000
5800,0.7455,-0.1402,0.5286,0.1491,-0.1328,0.5286,0.5165,1.0548,ALLOW,allow,grasp_slot_A_12,11,4,auto,0.2500,0.1563,0,0,0.1485,0,0,0,1,0.0691,-0.1318,0.5286,pick,12,scripted_virtual_hand,static_occupancy_proxy,18,,,,,,right_wrist_pitch_link,1.0548,0.5165,0.2500,0.4548,0.4548,0.5165,0.2500,0.2500,0.0691,-0.1318,0.5286,0.1491,-0.1328,0.5286,0.7570,-0.1481,0.0000,-0.3955,-0.4263,0.1975,1,0,0.5500,0.0800,1.1856,-0.6356,-0.3262,-0.4512,-0.2736,0.2226,-1.4500,0.0000,0.0000,0.0000
